,Angle of Attack,Reynolds Number,Upper Surface Trip Location,Lower Surface Trip Location,Flap Deflection,Lift (CL),Total Resistance (CD),Resistance due to Pressure (CDp),Torque (CM)
0,-0.05010216316463395,495974.5232834133,0.2891013795387326,0.7074661462905424,-0.14938229529417113,0.192388425701358,0.00893172509685148,0.000908190749700622,-0.0454595611549684
1,-0.16693917181941512,500156.31903764256,0.2988418228042966,0.7152251154202193,0.02404487675315357,0.191791301229936,0.0088414250506042,0.000916908842217208,-0.047285197336289
2,-0.08280798932214847,502249.26332016086,0.2929741537843948,0.7293134359596882,0.016487336438684677,0.199947950272501,0.00882857611350141,0.000930501663277417,-0.0470282894582563
3,0.04719764887234593,500061.5753147418,0.3083826718420998,0.6628094498028274,-0.015207369323271465,0.216436300059203,0.0089957112011266,0.00085446971355917,-0.047534147705725
4,0.08037965207334034,502756.97865721857,0.3198057589074644,0.6950918509821035,-0.01324480922486439,0.21964128791583,0.00881020287786409,0.000858050786652719,-0.0473461014499645
5,0.09864247939041881,497484.5007231105,0.30406663070530954,0.6731186974893726,0.16027168874429712,0.234422287424135,0.00904096626136269,0.000880606430428164,-0.0493089662775817
6,0.07426156445012382,497629.8134240543,0.2895903068809091,0.6687725416786308,0.04807143753655467,0.222950865234174,0.00911718970149281,0.000889086543467748,-0.0480484093957373
7,0.10382026367256302,500966.4290049019,0.29691025812725913,0.7300118477914811,0.002274278401620784,0.220549854198122,0.00883394250765308,0.000915884888575184,-0.0469546191074788
8,-0.011867531898092034,498655.58467784297,0.30200028704453796,0.733759154350084,-0.07600739746305583,0.20151531327711,0.00877473494164756,0.000913766665079673,-0.0460390813346327
9,0.01368541531827634,501217.2587949606,0.28158949814686485,0.6967749993194318,0.021700365311311014,0.212517731538304,0.00903061195271205,0.00091706143222806,-0.0474371615802874
10,0.13890430988991878,502818.3517616531,0.2906405031734327,0.7204291071290642,0.08626913484005586,0.230945755697835,0.00891937319511109,0.000920734897697047,-0.0479676863197223
11,0.01551297488272397,502046.55874516495,0.29205855423380833,0.6598889220548797,-0.08033336099025724,0.207396906166168,0.00907589333920582,0.000870137572856775,-0.0467534748563773
12,-0.04300146252191513,494789.547091728,0.3151984908929834,0.6889064019529656,0.03687647014722065,0.208936624990726,0.0088885876340629,0.000873571951770267,-0.0478381668763483
13,0.048518526777720714,495652.24714364606,0.28528974614292496,0.6972425981559985,-0.03549517986784223,0.212370334713877,0.00902793973200634,0.000909417411093473,-0.0468181063646378
